Experiment,Measurement,Replication,Module,Name,Value
General,,#37,fcnetwork.node4,#status,6
General,,#38,fcnetwork.node1,#status,6
General,,#38,fcnetwork.node2,#status,6
General,,#38,fcnetwork.node3,#status,6
General,,#38,fcnetwork.node4,#status,6
General,,#39,fcnetwork.node1,#status,6
General,,#39,fcnetwork.node2,#status,6
General,,#39,fcnetwork.node3,#status,6
General,,#39,fcnetwork.node4,#status,6
General,,#40,fcnetwork.node4,#status,6
General,,#40,fcnetwork.node3,#status,6
General,,#40,fcnetwork.node2,#status,6
General,,#40,fcnetwork.node1,#status,6
General,,#41,fcnetwork.node3,#status,6
General,,#41,fcnetwork.node2,#status,6
General,,#41,fcnetwork.node1,#status,6
General,,#41,fcnetwork.node4,#status,6
General,,#42,fcnetwork.node1,#status,6
General,,#42,fcnetwork.node2,#status,6
General,,#42,fcnetwork.node3,#status,6
General,,#42,fcnetwork.node4,#status,6
General,,#43,fcnetwork.node3,#status,6
General,,#43,fcnetwork.node2,#status,6
General,,#43,fcnetwork.node1,#status,6
General,,#43,fcnetwork.node4,#status,6
General,,#44,fcnetwork.node4,#status,6
General,,#44,fcnetwork.node3,#status,6
General,,#44,fcnetwork.node2,#status,6
General,,#44,fcnetwork.node1,#status,6
General,,#45,fcnetwork.node1,#status,6
General,,#45,fcnetwork.node4,#status,6
General,,#45,fcnetwork.node2,#status,6
General,,#45,fcnetwork.node3,#status,6
General,,#46,fcnetwork.node1,#status,6
General,,#46,fcnetwork.node2,#status,6
General,,#46,fcnetwork.node3,#status,6
General,,#46,fcnetwork.node4,#status,6
General,,#47,fcnetwork.node1,#status,6
General,,#47,fcnetwork.node2,#status,7
General,,#47,fcnetwork.node3,#status,6
General,,#47,fcnetwork.node4,#status,6
General,,#48,fcnetwork.node4,#status,6
General,,#48,fcnetwork.node3,#status,6
General,,#48,fcnetwork.node2,#status,6
General,,#48,fcnetwork.node1,#status,6
General,,#49,fcnetwork.node1,#status,9
General,,#49,fcnetwork.node2,#status,6
General,,#49,fcnetwork.node3,#status,6
General,,#49,fcnetwork.node4,#status,6
General,,#50,fcnetwork.node4,#status,6
General,,#50,fcnetwork.node3,#status,6
General,,#50,fcnetwork.node2,#status,6
General,,#50,fcnetwork.node1,#status,6
General,,#51,fcnetwork.node1,#status,6
General,,#51,fcnetwork.node2,#status,6
General,,#51,fcnetwork.node3,#status,6
General,,#51,fcnetwork.node4,#status,6
General,,#52,fcnetwork.node3,#status,6
General,,#52,fcnetwork.node2,#status,6
General,,#52,fcnetwork.node1,#status,6
General,,#52,fcnetwork.node4,#status,6
General,,#53,fcnetwork.node3,#status,6
General,,#53,fcnetwork.node1,#status,6
General,,#53,fcnetwork.node2,#status,6
General,,#53,fcnetwork.node4,#status,6
General,,#54,fcnetwork.node4,#status,10
General,,#54,fcnetwork.node3,#status,6
General,,#54,fcnetwork.node2,#status,6
General,,#54,fcnetwork.node1,#status,6
General,,#55,fcnetwork.node3,#status,8
General,,#55,fcnetwork.node4,#status,6
General,,#55,fcnetwork.node1,#status,6
General,,#55,fcnetwork.node2,#status,6
General,,#56,fcnetwork.node1,#status,6
General,,#56,fcnetwork.node2,#status,6
General,,#56,fcnetwork.node3,#status,6
General,,#56,fcnetwork.node4,#status,6
General,,#57,fcnetwork.node3,#status,6
General,,#57,fcnetwork.node4,#status,6
General,,#57,fcnetwork.node2,#status,6
